20110101_12:00:00,7
20110102_12:00:00,7
20110103_12:00:00,7
20110104_12:00:00,7
20110105_12:00:00,7
20110106_12:00:00,7
20110107_12:00:00,7
20110108_12:00:00,7
20110109_12:00:00,7
20110110_12:00:00,7
20110111_12:00:00,7
20110112_12:00:00,7
20110113_12:00:00,7
20110114_12:00:00,7
20110115_12:00:00,7
20110116_12:00:00,7
20110117_12:00:00,7
20110118_12:00:00,7
20110119_12:00:00,7
20110120_12:00:00,7
20110121_12:00:00,7
20110122_12:00:00,7
20110123_12:00:00,7
20110124_12:00:00,7
20110125_12:00:00,7
20110126_12:00:00,7
20110127_12:00:00,7
20110128_12:00:00,7
20110129_12:00:00,7
20110130_12:00:00,7
20110131_12:00:00,7
20110201_12:00:00,7
20110202_12:00:00,2
20110203_12:00:00,2
20110204_12:00:00,6
20110205_12:00:00,3
20110206_12:00:00,3
20110207_12:00:00,0
20110208_12:00:00,0
20110209_12:00:00,0
20110210_12:00:00,7
20110211_12:00:00,7
20110212_12:00:00,7
20110213_12:00:00,6
20110214_12:00:00,3
20110215_12:00:00,2
20110216_12:00:00,2
20110217_12:00:00,6
20110218_12:00:00,3
20110219_12:00:00,2
20110220_12:00:00,2
20110221_12:00:00,6
20110222_12:00:00,6
20110223_12:00:00,6
20110224_12:00:00,6
20110225_12:00:00,0
20110226_12:00:00,6
20110227_12:00:00,7
20110228_12:00:00,7
20110301_12:00:00,7
20110302_12:00:00,3
20110303_12:00:00,3
20110304_12:00:00,3
20110305_12:00:00,2
20110306_12:00:00,2
20110307_12:00:00,3
20110308_12:00:00,3
20110309_12:00:00,2
20110310_12:00:00,2
20110311_12:00:00,3
20110312_12:00:00,6
20110313_12:00:00,7
20110314_12:00:00,7
20110315_12:00:00,7
20110316_12:00:00,3
20110317_12:00:00,3
20110318_12:00:00,3
20110319_12:00:00,0
20110320_12:00:00,0
20110321_12:00:00,7
20110322_12:00:00,7
20110323_12:00:00,7
20110324_12:00:00,7
20110325_12:00:00,7
20110326_12:00:00,7
20110327_12:00:00,7
20110328_12:00:00,6
20110329_12:00:00,6
20110330_12:00:00,6
20110331_12:00:00,6
20110401_12:00:00,6
20110402_12:00:00,6
20110403_12:00:00,6
20110404_12:00:00,6
20110405_12:00:00,6
20110406_12:00:00,2
20110407_12:00:00,2
20110408_12:00:00,2
20110409_12:00:00,2
20110410_12:00:00,2
20110411_12:00:00,3
20110412_12:00:00,3
20110413_12:00:00,2
20110414_12:00:00,3
20110415_12:00:00,1
20110416_12:00:00,3
20110417_12:00:00,1
20110418_12:00:00,3
20110419_12:00:00,3
20110420_12:00:00,3
20110421_12:00:00,6
20110422_12:00:00,4
20110423_12:00:00,3
20110424_12:00:00,3
20110425_12:00:00,3
20110426_12:00:00,5
20110427_12:00:00,5
20110428_12:00:00,5
20110429_12:00:00,5
20110430_12:00:00,0
20110501_12:00:00,3
20110502_12:00:00,5
20110503_12:00:00,3
20110504_12:00:00,4
20110505_12:00:00,4
20110506_12:00:00,5
20110507_12:00:00,5
20110508_12:00:00,5
20110509_12:00:00,5
20110510_12:00:00,1
20110511_12:00:00,1
20110512_12:00:00,1
20110513_12:00:00,3
20110514_12:00:00,3
20110515_12:00:00,2
20110516_12:00:00,2
20110517_12:00:00,2
20110518_12:00:00,2
20110519_12:00:00,1
20110520_12:00:00,5
20110521_12:00:00,5
20110522_12:00:00,4
20110523_12:00:00,4
20110524_12:00:00,4
20110525_12:00:00,4
20110526_12:00:00,4
20110527_12:00:00,5
20110528_12:00:00,4
20110529_12:00:00,1
20110530_12:00:00,1
20110531_12:00:00,5
20110601_12:00:00,5
20110602_12:00:00,1
20110603_12:00:00,1
20110604_12:00:00,5
20110605_12:00:00,5
20110606_12:00:00,5
20110607_12:00:00,5
20110608_12:00:00,5
20110609_12:00:00,5
20110610_12:00:00,5
20110611_12:00:00,5
20110612_12:00:00,5
20110613_12:00:00,5
20110614_12:00:00,5
20110615_12:00:00,5
20110616_12:00:00,5
20110617_12:00:00,5
20110618_12:00:00,5
20110619_12:00:00,5
20110620_12:00:00,5
20110621_12:00:00,5
20110622_12:00:00,5
20110623_12:00:00,5
20110624_12:00:00,5
20110625_12:00:00,5
20110626_12:00:00,5
20110627_12:00:00,5
20110628_12:00:00,5
20110629_12:00:00,5
20110630_12:00:00,5
20110701_12:00:00,5
20110702_12:00:00,5
20110703_12:00:00,5
20110704_12:00:00,1
20110705_12:00:00,5
20110706_12:00:00,5
20110707_12:00:00,1
20110708_12:00:00,1
20110709_12:00:00,5
20110710_12:00:00,5
20110711_12:00:00,5
20110712_12:00:00,5
20110713_12:00:00,5
20110714_12:00:00,9
20110715_12:00:00,9
20110716_12:00:00,9
20110717_12:00:00,9
20110718_12:00:00,9
20110719_12:00:00,5
20110720_12:00:00,9
20110721_12:00:00,9
20110722_12:00:00,5
20110723_12:00:00,5
20110724_12:00:00,5
20110725_12:00:00,5
20110726_12:00:00,5
20110727_12:00:00,5
20110728_12:00:00,5
20110729_12:00:00,5
